"rank","name","average rank","index","Player","Pos","Age","Tm","G","GS","MP","3P","3PA","2P","2PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","PTS"
1,"Kawhi Leonard",1.833333333,0.9954166667,"Kawhi Leonard\leonaka01","SF",27,"TOR",60,60,2040,112,302,448,827,364,426,78,361,199,106,24,121,87,1596
2,"Giannis Antetokounmpo",2,0.995,"Giannis Antetokounmpo\antetgi01","PF",24,"MIL",72,72,2358,52,203,669,1044,500,686,159,739,424,92,110,268,232,1994
3,"LeBron James",2.833333333,0.9929166667,"LeBron James\jamesle01","SF",34,"LAL",55,55,1937,111,327,447,768,278,418,57,408,454,72,33,197,94,1505
4,"Stephen Curry",3.833333333,0.9904166667,"Stephen Curry\curryst01","PG",30,"GSW",69,69,2331,354,810,278,530,263,287,45,324,361,92,25,192,166,1881
5,"James Harden",4.833333333,0.9879166667,"James Harden\hardeja01","PG",29,"HOU",78,78,2867,378,1028,465,881,754,858,66,452,586,158,58,387,244,2818
6,"Anthony Davis",6.166666667,0.9845833333,"Anthony Davis\davisan02","C",25,"NOP",56,56,1850,48,145,482,881,344,433,174,498,218,88,135,112,132,1452
7,"Joel Embiid",7.5,0.98125,"Joel Embiid\embiijo01","C",24,"PHI",64,64,2154,79,263,501,936,522,649,160,711,234,46,122,226,211,1761
8,"Nikola Jokic",8.166666667,0.9795833333,"Nikola Jokic\jokicni01","C",23,"DEN",80,80,2504,83,270,533,936,289,352,228,637,580,108,55,248,228,1604
9,"Paul George",8.833333333,0.9779166667,"Paul George\georgpa01","SF",28,"OKC",77,77,2841,292,757,415,857,453,540,105,523,318,170,34,205,214,2159
10,"Damian Lillard",9.666666667,0.9758333333,"Damian Lillard\lillada01","PG",28,"POR",80,80,2838,237,643,444,890,468,513,68,303,551,88,34,212,148,2067
11,"Kyrie Irving",13.16666667,0.9670833333,"Kyrie Irving\irvinky01","PG",26,"BOS",67,67,2214,174,434,430,807,214,245,71,264,464,103,34,172,167,1596
12,"Russell Westbrook",13.83333333,0.9654166667,"Russell Westbrook\westbru01","PG",30,"OKC",73,73,2630,119,411,511,1062,296,451,109,698,784,142,33,325,245,1675
13,"Jimmy Butler",14.33333333,0.9641666667,"Jimmy Butler\butleji01","SF-SG",29,"TOT",65,65,2185,67,193,351,711,312,365,121,221,263,123,39,95,111,1215
14,"Karl-Anthony Towns",14.33333333,0.9641666667,"Karl-Anthony Towns\townska01","C",23,"MIN",77,77,2545,142,355,539,959,376,450,263,691,259,67,125,240,292,1880
15,"Rudy Gobert",15.83333333,0.9604166667,"Rudy Gobert\goberru01","C",26,"UTA",81,80,2577,0,0,476,712,332,522,309,732,161,66,187,130,231,1284
16,"Bradley Beal",18,0.955,"Bradley Beal\bealbr01","SG",25,"WAS",82,82,3028,209,596,555,1013,362,448,89,322,448,121,58,224,226,2099
17,"Draymond Green",19.16666667,0.9520833333,"Draymond Green\greendr01","PF",28,"GSW",66,66,2065,47,165,141,257,63,91,60,421,454,95,70,169,197,486
18,"Ben Simmons",19.5,0.95125,"Ben Simmons\simmobe01","PG",22,"PHI",79,79,2700,0,6,540,954,257,428,172,525,610,112,61,274,209,1337
19,"Kemba Walker",19.83333333,0.9504166667,"Kemba Walker\walkeke02","PG",28,"CHO",82,82,2863,260,731,471,953,380,450,52,309,484,102,34,211,131,2102
20,"Blake Griffin",20.5,0.94875,"Blake Griffin\griffbl01","PF",29,"DET",75,75,2622,189,522,430,819,414,550,100,465,402,52,28,253,199,1841
21,"Chris Paul",25,0.9375,"Chris Paul\paulch01","PG",33,"HOU",58,58,1857,127,355,175,365,175,203,36,229,473,114,18,152,146,906
22,"Pascal Siakam",25.66666667,0.9358333333,"Pascal Siakam\siakapa01","PF",24,"TOR",80,79,2548,79,214,440,731,237,302,124,425,248,73,52,154,241,1354
23,"Jrue Holiday",25.83333333,0.9354166667,"Jrue Holiday\holidjr01","SG",28,"NOP",67,67,2402,118,363,429,796,208,271,75,259,518,109,54,210,148,1420
24,"Donovan Mitchell",26.16666667,0.9345833333,"Donovan Mitchell\mitchdo01","SG",22,"UTA",77,77,2598,188,519,473,1011,319,396,59,257,322,106,31,218,208,1829
25,"Luka Doncic",26.83333333,0.9329166667,"Luka Doncic\doncilu01","SG",19,"DAL",72,72,2318,168,514,338,672,346,485,86,477,429,77,25,247,137,1526
26,"CJ McCollum",27.33333333,0.9316666667,"CJ McCollum\mccolcj01","SG",27,"POR",70,70,2375,167,445,404,798,159,192,62,220,207,55,28,106,172,1468
27,"LaMarcus Aldridge",28.5,0.92875,"LaMarcus Aldridge\aldrila01","C",33,"SAS",81,81,2687,10,42,674,1277,349,412,251,493,194,43,107,144,179,1727
28,"Mike Conley",28.5,0.92875,"Mike Conley\conlemi01","PG",31,"MEM",70,70,2342,155,426,335,694,343,406,40,199,449,94,22,130,123,1478
29,"Al Horford",28.83333333,0.9279166667,"Al Horford\horfoal01","C",32,"BOS",68,68,1973,73,203,314,520,78,95,120,338,283,59,86,102,126,925
30,"Khris Middleton",29.33333333,0.9266666667,"Khris Middleton\middlkh01","SF",27,"MIL",77,77,2393,179,474,327,674,216,258,50,411,331,80,7,174,172,1407
31,"Kyle Lowry",30.83333333,0.9229166667,"Kyle Lowry\lowryky01","PG",32,"TOR",65,65,2213,157,453,147,286,161,194,41,271,564,91,31,182,166,926
32,"Devin Booker",31,0.9225,"Devin Booker\bookede01","SG",22,"PHO",64,64,2242,135,414,451,841,393,454,39,226,433,56,13,264,200,1700
33,"Victor Oladipo",32.66666667,0.9183333333,"Victor Oladipo\oladivi01","SG",26,"IND",36,36,1147,74,216,175,372,103,141,21,181,186,60,11,82,72,675
34,"De'Aaron Fox",35.83333333,0.9104166667,"De'Aaron Fox\foxde01","PG",21,"SAC",81,81,2546,86,232,419,870,303,417,43,261,590,133,45,227,204,1399
35,"Jamal Murray",37.33333333,0.9066666667,"Jamal Murray\murraja01","PG",21,"DEN",75,74,2447,152,414,361,759,189,223,65,252,363,67,27,158,153,1367
